"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
7.4;0.70;0.00;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5
7.8;0.88;0.00;2.6;0.098;25.0;67.0;0.9968;3.20;0.68;9.8;5
7.8;0.76;0.04;2.3;0.092;15.0;54.0;0.9970;3.26;0.65;9.8;5
11.2;0.28;0.56;1.9;0.075;17.0;60.0;0.9980;3.16;0.58;9.8;6
7.4;0.70;0.00;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5
7.4;0.66;0.00;1.8;0.075;13.0;40.0;0.9978;3.51;0.56;9.4;5
7.9;0.60;0.06;1.6;0.069;15.0;59.0;0.9964;3.30;0.46;9.4;5
7.3;0.65;0.00;1.2;0.065;15.0;21.0;0.9946;3.39;0.47;10.0;7
7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.9968;3.36;0.57;9.5;7
7.5;0.50;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.80;10.5;5
6.7;0.58;0.08;1.8;0.097;15.0;65.0;0.9959;3.28;0.54;9.2;5
7.5;0.50;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.80;10.5;5
5.6;0.615;0.00;1.6;0.089;16.0;59.0;0.9943;3.58;0.52;9.9;5
7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.26;1.56;9.1;5
8.9;0.62;0.18;3.8;0.176;52.0;145.0;0.9986;3.16;0.88;9.2;5
8.9;0.62;0.19;3.9;0.170;51.0;148.0;0.9986;3.17;0.93;9.2;5
8.5;0.28;0.56;1.8;0.092;35.0;103.0;0.9969;3.30;0.75;10.5;7
8.1;0.56;0.28;1.7;0.368;16.0;56.0;0.9968;3.11;1.28;9.3;5
7.4;0.59;0.08;4.4;0.086;6.0;29.0;0.9974;3.38;0.50;9.0;4
7.9;0.32;0.51;1.8;0.341;17.0;56.0;0.9969;3.04;1.08;9.2;6
8.9;0.22;0.48;1.8;0.077;29.0;60.0;0.9968;3.39;0.53;9.4;6
7.6;0.39;0.31;2.3;0.082;23.0;71.0;0.9982;3.52;0.65;9.7;5
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;5
8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4;5
6.9;0.40;0.14;2.4;0.085;21.0;40.0;0.9968;3.43;0.63;9.7;6
6.3;0.39;0.08;1.7;0.066;3.0;20.0;0.9954;3.34;0.58;10.5;6
7.4;0.34;0.42;2.0;0.076;8.0;22.0;0.9966;3.36;0.60;10.0;6
6.3;0.39;0.08;1.7;0.066;3.0;20.0;0.9954;3.34;0.58;10.5;6
7.4;0.34;0.42;2.0;0.076;8.0;22.0;0.9966;3.36;0.60;10.0;6
6.6;0.56;0.14;2.4;0.064;13.0;29.0;0.9941;3.46;0.62;11.7;7
8.8;0.66;0.26;1.7;0.074;4.0;23.0;0.9971;3.15;0.74;9.2;5
7.6;0.33;0.36;2.1;0.066;11.0;33.0;0.9956;3.22;0.50;11.5;6
7.7;0.21;0.32;1.1;0.060;7.0;49.0;0.9960;3.30;0.60;10.0;6
7.9;0.24;0.40;1.6;0.056;11.0;25.0;0.9967;3.32;0.87;8.7;6
7.1;0.36;0.30;1.6;0.080;35.0;70.0;0.9972;3.35;0.60;10.4;5
8.0;0.53;0.01;3.3;0.070;5.0;13.0;0.9961;3.25;0.43;10.9;6
7.2;0.53;0.14;2.1;0.064;15.0;29.0;0.9970;3.39;0.62;9.7;5
7.5;0.40;0.18;1.6;0.079;18.0;50.0;0.9974;3.38;0.55;9.4;5
7.8;0.57;0.09;2.3;0.065;34.0;45.0;0.9946;3.32;0.57;11.0;6
7.8;0.54;0.12;2.0;0.060;28.0;43.0;0.9950;3.34;0.55;11.2;6
