Name,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
AARON,POLICE OFFICER,POLICE,F,Salary,,84054.00,
AARON,OPERATING ENGINEER - GROUP C,WATER MGMT,F,Salary,,91520.00,
ABBEY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ABBOTT,POLICE OFFICER,POLICE,F,Salary,,80778.00,
ABEL,CLERK III,POLICE,F,Salary,,53076.00,
ABRAHAM,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ACEVEDO,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ADAM,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
ADAMS,SENIOR DATA ENTRY OPERATOR,POLICE,F,Salary,,45708.00,
ADAMS,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ADKINS,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
AGUILAR,POLICE OFFICER,POLICE,F,Salary,,84054.00,
AHMAD,ELECTRICAL MECHANIC,AVIATION,F,Salary,,91520.00,
AHMED,POLICE OFFICER,POLICE,F,Salary,,84054.00,
AIELLO,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
AIKEN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ALBA,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ALBERT,POLICE OFFICER,POLICE,F,Salary,,80778.00,
ALEXANDER,MOTOR TRUCK DRIVER,STREETS & SAN,F,Salary,,71780.00,
ALLEN,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ALLEN,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
ALONSO,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ALVAREZ,FOREMAN OF LABORERS,WATER MGMT,F,Salary,,92524.00,
ALVAREZ,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ANDERSON,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ANDERSON,CLERK III,FINANCE,F,Salary,,53076.00,
ANDREWS,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
ANTHONY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ARCHER,CIVIL ENGINEER IV,WATER MGMT,F,Salary,,101442.00,
ARMSTRONG,POLICE OFFICER,POLICE,F,Salary,,84054.00,
ARNOLD,FIREFIGHTER-EMT,FIRE,F,Salary,,91764.00,
ARROYO,POLICE OFFICER,POLICE,F,Salary,,84054.00,
AUSTIN,CAPTAIN-Loss Prevention,POLICE,F,Salary,,104628.00,
AVERY,POLICE OFFICER,POLICE,F,Salary,,84054.00,
