Attorney First Name,Attorney Last Name,Middle Name,Suffix,Company Name,Street Address,City,State,Zip Code,Phone Number,Registration Date,Commission Expiration Date,County,Status
John,Smith,,Esq.,Smith & Associates,123 Broadway,New York,NY,10001,212-555-0101,01/15/2020,01/15/2025,New York,Active
Jane,Doe,Marie,,Doe Legal Group,456 Park Ave,New York,NY,10022,212-555-0102,03/22/2019,03/22/2024,New York,Active
Robert,Johnson,A.,Jr.,Johnson Law Firm,789 Lexington Ave,Brooklyn,NY,11201,718-555-0103,06/10/2018,06/10/2023,Kings,Active
Maria,Garcia,,,Garcia & Partners,321 Court St,Bronx,NY,10451,,08/05/2021,08/05/2026,Bronx,Active
James,Williams,T.,,,654 Main St,Queens,NY,11375,718-555-0105,,12/20/2024,Queens,Inactive
Patricia,Brown,,,Brown Legal Services,987 Atlantic Ave,Brooklyn,NY,11217,718-555-0106,11/30/2017,11/30/2022,Kings,Active
Michael,Jones,R.,III,Jones & Associates,147 Fulton St,New York,NY,10038,212-555-0107,02/14/2020,02/14/2025,New York,Active
Linda,Davis,,,,258 Flatbush Ave,Brooklyn,NY,11225,,04/18/2019,,Kings,
David,Miller,S.,,Miller Law Office,369 Queens Blvd,Queens,NY,11101,718-555-0109,07/22/2021,07/22/2026,Queens,Active
Jennifer,Wilson,,,Wilson & Co.,741 Grand Concourse,Bronx,NY,10452,718-555-0110,09/03/2018,09/03/2023,Bronx,Active
William,Moore,J.,,Moore Legal Group,852 5th Ave,New York,NY,10065,212-555-0111,05/11/2020,05/11/2025,New York,Active
Elizabeth,Taylor,,,Taylor Law Firm,963 Madison Ave,New York,NY,10021,,10/25/2019,10/25/2024,New York,Active
Richard,Anderson,,,Anderson & Partners,174 Montague St,Brooklyn,NY,11201,718-555-0113,12/08/2017,12/08/2022,Kings,Inactive
Susan,Thomas,L.,,Thomas Legal Services,285 Jamaica Ave,Queens,NY,11432,718-555-0114,,01/30/2025,Queens,Active
Charles,Jackson,,Esq.,Jackson & Associates,396 E 149th St,Bronx,NY,10455,718-555-0115,03/17/2021,03/17/2026,Bronx,Active
Jessica,White,M.,,,507 Broadway,New York,NY,10012,,06/29/2018,06/29/2023,,Active
Thomas,Harris,,,Harris Law Office,618 Myrtle Ave,Brooklyn,NY,11205,718-555-0117,08/14/2020,08/14/2025,Kings,Active
Sarah,Martin,,,,729 Northern Blvd,Queens,NY,11101,718-555-0118,11/02/2019,,Queens,
Daniel,Thompson,K.,,Thompson & Co.,840 Tremont Ave,Bronx,NY,10460,718-555-0119,01/19/2018,01/19/2023,Bronx,Active
Karen,Robinson,,,Robinson Legal Group,951 Wall St,New York,NY,10005,212-555-0120,04/07/2021,04/07/2026,New York,Active
John,Smith,,Esq.,Smith & Associates,123 Broadway,New York,NY,10001,212-555-0101,01/15/2020,01/15/2025,New York,Active
Christopher,Lee,P.,,Lee Law Firm,162 Court St,Brooklyn,NY,11201,,07/23/2019,07/23/2024,Kings,Active
Nancy,Walker,,,Walker & Partners,273 Steinway St,Queens,NY,11103,718-555-0123,09/15/2020,09/15/2025,Queens,Active
Mark,Hall,,Jr.,Hall Legal Services,384 E 161st St,Bronx,NY,10451,718-555-0124,12/01/2018,12/01/2023,Bronx,Inactive
Steven,Allen,D.,,Allen & Associates,495 Chambers St,New York,NY,10007,212-555-0125,02/28/2021,02/28/2026,New York,Active
Betty,Young,,,Young Law Office,606 Nostrand Ave,Brooklyn,NY,11216,,05/16/2019,,Kings,Active
George,King,,Esq.,King & Co.,717 Roosevelt Ave,Queens,NY,11372,718-555-0127,08/09/2020,08/09/2025,Queens,Active
Dorothy,Wright,H.,,,828 Grand Ave,Bronx,NY,10451,,10/28/2017,10/28/2022,Bronx,
Edward,Lopez,,,Lopez Legal Group,939 Spring St,New York,NY,10013,212-555-0129,01/14/2019,01/14/2024,New York,Active
Helen,Hill,,,Hill Law Firm,150 Smith St,Brooklyn,NY,11201,718-555-0130,03/30/2021,03/30/2026,Kings,Active
Jane,Doe,Marie,,Doe Legal Group,456 Park Ave,New York,NY,10022,212-555-0102,03/22/2019,03/22/2024,New York,Active
Brian,Scott,W.,,Scott & Partners,261 Ditmars Blvd,Queens,NY,11105,718-555-0132,06/18/2020,06/18/2025,Queens,Active
Gloria,Green,,,,372 E 138th St,Bronx,NY,10454,,09/05/2018,09/05/2023,,Active
Ronald,Adams,,,Adams Legal Services,483 Bleecker St,New York,NY,10014,212-555-0134,11/22/2019,11/22/2024,New York,Active
Sharon,Baker,J.,Esq.,Baker & Associates,594 DeKalb Ave,Brooklyn,NY,11205,718-555-0135,02/09/2021,02/09/2026,Kings,Active
